method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,periodic,15000,15000,0,0,47010,0,0,47010,9,14.477789999999004,0.0,0.05521009999938542,19.673276800000167
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,periodic,15000,15000,0,0,47010,0,0,47010,9,15.669420300000638,0.0,2.0012327000004007,37.34517650000089
dagger,2,0.0,0.7668222481524699,0.2331777518475301,51711,1,periodic,15000,10299,47010,47010,47010,4701,4701,51711,9,15.215874400000757,18.59125749999839,2.016993999999613,73.17033459999948
dagger,3,0.0,0.7711007390120576,0.22889926098794244,56412,1,periodic,15000,5598,47010,94020,47010,4701,9402,56412,9,17.48293609999928,19.196062499999243,2.2143914999996923,112.06493709999995
dagger,4,0.0,0.7711007390120576,0.22889926098794244,61113,1,periodic,15000,897,47010,141030,47010,4701,14103,61113,9,13.85714150000058,19.697131400000217,1.7975074000005407,147.4177466000001
dagger,5,0.0,0.7709062621548036,0.22909373784519638,62010,1,periodic,15000,0,47010,188040,47010,897,15000,62010,9,15.9923873000007,18.47965849999855,1.9427087999993091,183.8335858999999
