method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,standard,15000,15000,0,0,47010,0,0,47010,9,9.117012000000614,0.0,0.032052000000476255,12.505973299999823
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,standard,15000,15000,0,0,47010,0,0,47010,9,8.420787299999574,0.0,1.016160299999683,21.943828099999337
dagger,2,0.0,0.7732399844418514,0.22676001555814862,62010,0,standard,15000,0,47010,47010,47010,15000,15000,62010,9,13.456021199999668,9.856960099999924,2.030169799999385,47.2882069999996
dagger,3,0.0,0.7732399844418514,0.22676001555814862,62010,0,standard,15000,0,47010,94020,47010,0,15000,62010,9,1.8000000636675395e-06,18.47895420000077,2.1106730999999854,67.87916289999976
dagger,4,0.0,0.7732399844418514,0.22676001555814862,62010,0,standard,15000,0,47010,141030,47010,0,15000,62010,9,1.7000002117129043e-06,17.042964299999767,2.059226700000181,86.9822323999997
dagger,5,0.0,0.7732399844418514,0.22676001555814862,62010,0,standard,15000,0,47010,188040,47010,0,15000,62010,9,1.2000000424450263e-06,17.41633880000063,1.874660400000721,106.27424339999925
