method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,uncertainty,20000,20000,0,0,47010,0,0,47010,9,14.978393100000176,0.0,0.051794799999697716,21.973380900000848
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,uncertainty,20000,20000,0,0,47010,0,0,47010,9,12.648000900000625,0.0,2.7297254000004614,37.35251860000062
dagger,2,0.0,0.766044340723454,0.23395565927654605,47843,1,uncertainty,20000,19167,47010,47010,47010,833,833,47843,9,11.32283389999975,30.087658499998724,1.896584799998891,80.66039649999948
dagger,3,0.0,0.7676001555814858,0.23239984441851425,48516,1,uncertainty,20000,18494,47010,94020,47010,673,1506,48516,9,12.370787300000302,30.34754509999948,1.759440199999517,125.14442360000066
dagger,4,0.0,0.7672112018669778,0.23278879813302222,49228,1,uncertainty,20000,17782,47010,141030,47010,712,2218,49228,9,12.45832750000045,31.133350600000995,1.7545416000011755,170.49149729999954
dagger,5,0.0,0.7722676001555815,0.2277323998444185,49892,1,uncertainty,20000,17118,47010,188040,47010,664,2882,49892,9,13.113879300000917,30.3646377999994,1.7603161000006367,215.7313247000002
