method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,uncertainty,15000,15000,0,0,47010,0,0,47010,9,13.789257200000065,0.0,0.05143170000064856,18.84445169999981
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,uncertainty,15000,15000,0,0,47010,0,0,47010,9,12.116252099999656,0.0,1.7715472999998383,32.733617400000185
dagger,2,0.0,0.766044340723454,0.23395565927654605,47843,1,uncertainty,15000,14167,47010,47010,47010,833,833,47843,9,11.97015139999985,30.07273290000012,1.764902300000358,76.54235379999955
dagger,3,0.0,0.7676001555814858,0.23239984441851425,48516,1,uncertainty,15000,13494,47010,94020,47010,673,1506,48516,9,12.857236099999682,30.726072000000386,1.8520191999996314,121.98179460000028
dagger,4,0.0,0.7672112018669778,0.23278879813302222,49228,1,uncertainty,15000,12782,47010,141030,47010,712,2218,49228,9,13.173419499999909,30.287847900000088,1.7881555000003573,167.23216869999942
dagger,5,0.0,0.7722676001555815,0.2277323998444185,49892,1,uncertainty,15000,12118,47010,188040,47010,664,2882,49892,9,11.456526199999644,30.283284000000094,1.1244479000015417,210.09748170000057
