strategy,seeds,mean_accuracy,accuracy_sample_sd,mean_additional_queries,queries_sample_sd,mean_elapsed_seconds,elapsed_sample_sd
standard,3,0.7715545183456501,0.0028137604582147624,10000.0,0.0,104.05624676666669,23.03085346523495
uncertainty,3,0.7708414365357189,0.0013659605539806637,2825.6666666666665,62.77207447052657,185.09816086666646,53.81851762104545
periodic,3,0.7695449241540256,0.0039330510338694375,10000.0,0.0,121.97531360000009,32.74064738137548
