strategy,budget,n,mean_accuracy,accuracy_sd,mean_queries,queries_sd,mean_runtime,runtime_sd
standard,5000,3,0.7689614935822638,0.001695409935255046,5000.0,0.0,96.64685889999994,25.189774358849746
uncertainty,5000,3,0.7708414365357189,0.0013659605539806637,2825.6666666666665,62.77207447052657,130.43644936666684,10.612206050367304
periodic,5000,3,0.7681835861532477,0.0011829565403147014,5000.0,0.0,83.10004703333318,3.4083390584489535
standard,10000,3,0.7715545183456501,0.0028137604582147624,10000.0,0.0,104.05624676666669,23.03085346523495
uncertainty,10000,3,0.7708414365357189,0.0013659605539806637,2825.6666666666665,62.77207447052657,185.09816086666646,53.81851762104545
periodic,10000,3,0.7695449241540256,0.0039330510338694375,10000.0,0.0,121.97531360000009,32.74064738137548
standard,15000,3,0.773110333203682,0.00022456253177348593,15000.0,0.0,120.30774313333313,12.274421822719743
uncertainty,15000,3,0.7708414365357189,0.0013659605539806637,2825.6666666666665,62.77207447052657,216.1069027333336,10.385756621494284
periodic,15000,3,0.7678594580578245,0.005446509480434306,15000.0,0.0,170.30015510000007,11.720400537424409
standard,20000,3,0.7735641125372746,0.0013237766016247056,20000.0,0.0,122.87536436666596,4.374184829600897
uncertainty,20000,3,0.7708414365357189,0.0013659605539806637,2825.6666666666665,62.77207447052657,215.3839450333338,6.451377470130966
periodic,20000,3,0.769869052249449,0.0019186631125305872,18804.0,0.0,164.53968709999995,1.5385062347048932
