method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,uncertainty,10000,10000,0,0,47010,0,0,47010,9,9.442625100000441,0.0,0.03734989999975369,12.898072599999978
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,uncertainty,10000,10000,0,0,47010,0,0,47010,9,12.476396099999874,0.0,1.821248000000196,27.196708399999807
dagger,2,0.0,0.766044340723454,0.23395565927654605,47843,1,uncertainty,10000,9167,47010,47010,47010,833,833,47843,9,12.771808499999679,33.28247300000021,1.8940596000002188,75.14590369999951
dagger,3,0.0,0.7676001555814858,0.23239984441851425,48516,1,uncertainty,10000,8494,47010,94020,47010,673,1506,48516,9,14.533022200000232,31.679199500000323,1.808441999999559,123.16765419999956
dagger,4,0.0,0.7672112018669778,0.23278879813302222,49228,1,uncertainty,10000,7782,47010,141030,47010,712,2218,49228,9,8.803710400000455,25.95373269999982,0.9836088000001837,158.9096873999997
dagger,5,0.0,0.7722676001555815,0.2277323998444185,49892,1,uncertainty,10000,7118,47010,188040,47010,664,2882,49892,9,15.22925750000013,19.147520900000018,1.96367520000058,195.25102329999936
