method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,uncertainty,15000,15000,0,0,47010,0,0,47010,9,17.0632487999992,0.0,0.055956700000024284,23.44230179999977
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,uncertainty,15000,15000,0,0,47010,0,0,47010,9,14.338288799999646,0.0,1.9305855000002339,39.71259100000043
dagger,2,0.0,0.7666277712952159,0.23337222870478413,47768,0,uncertainty,15000,14242,47010,47010,47010,758,758,47768,9,12.621621799999957,21.99744869999995,1.8008820999993986,76.13344599999982
dagger,3,0.0,0.766044340723454,0.23395565927654605,48482,0,uncertainty,15000,13528,47010,94020,47010,714,1472,48482,9,12.789000900000246,29.327329900000223,1.7018665000005058,119.9575361999996
dagger,4,0.0,0.7722676001555815,0.2277323998444185,49193,0,uncertainty,15000,12817,47010,141030,47010,711,2183,49193,9,12.943326999999954,29.738977500000146,1.7520549999999275,164.39313180000045
dagger,5,0.0,0.7707117852975496,0.22928821470245042,49847,0,uncertainty,15000,12163,47010,188040,47010,654,2837,49847,9,13.39378029999989,30.45817999999963,1.8777973000005659,210.12389470000016
