method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,standard,15000,15000,0,0,47010,0,0,47010,9,13.508409699999902,0.0,0.05043649999970512,18.35456559999966
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,standard,15000,15000,0,0,47010,0,0,47010,9,12.207130800000414,0.0,1.7889252999993914,32.35199459999967
dagger,2,0.0,0.7732399844418514,0.22676001555814862,62010,1,standard,15000,0,47010,47010,47010,15000,15000,62010,9,16.963170200000604,17.81602339999972,1.8611287000003358,68.99320649999936
dagger,3,0.0,0.7732399844418514,0.22676001555814862,62010,1,standard,15000,0,47010,94020,47010,0,15000,62010,9,1.7000002117129043e-06,17.090747499999452,2.0034546999995655,88.08901109999988
dagger,4,0.0,0.7732399844418514,0.22676001555814862,62010,1,standard,15000,0,47010,141030,47010,0,15000,62010,9,2.100000529026147e-06,17.15714300000036,1.8729222000001755,107.12014009999984
dagger,5,0.0,0.7732399844418514,0.22676001555814862,62010,1,standard,15000,0,47010,188040,47010,0,15000,62010,9,1.2999998943996616e-06,16.646921000000475,1.8369179999999687,125.6048723999993
