method,iteration,beta,accuracy,imitation_error,dataset_size,seed,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.6063788409179308,0.3936211590820692,47010,0,0,0,47010,0,0,47010,9,12.950187999999798,0.0,0.03647869999986142,19.720096600000034
structured_bc,1,1.0,0.6061843640606768,0.3938156359393232,47010,0,0,0,47010,0,0,47010,9,10.913286099999823,0.0,1.002295299999787,31.636614199999713
dagger,2,0.0,0.6509140412290937,0.3490859587709063,94020,0,47010,47010,47010,47010,47010,94020,9,22.02363779999996,9.922621400000025,2.1622397000001,65.74599450000005
dagger,3,0.0,0.6575262543757293,0.3424737456242707,141030,0,47010,94020,47010,47010,94020,141030,9,37.508806699999695,20.173868900000343,1.8956345000005967,125.32772039999963
dagger,4,0.0,0.6631660832360949,0.33683391676390506,188040,0,47010,141030,47010,47010,141030,188040,9,43.69398920000003,18.698649099999784,1.8287238000002617,189.55048280000028
dagger,5,0.0,0.6629716063788409,0.3370283936211591,235050,0,47010,188040,47010,47010,188040,235050,9,39.093157399999654,19.763400400000137,2.3176684000000023,250.72557909999978
