method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7366783352781019,0.2633216647218981,47010,2,uncertainty,5000,5000,0,0,47010,0,0,47010,9,13.061118699999497,0.0,0.034899899999800255,20.841148599999542
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,2,uncertainty,5000,5000,0,0,47010,0,0,47010,9,7.78132210000058,0.0,1.0283320000007734,29.65196130000004
dagger,2,0.0,0.765071956437184,0.23492804356281605,47713,2,uncertainty,5000,4297,47010,47010,47010,703,703,47713,9,8.29655240000011,17.492243900000176,1.0127190000002884,56.4544721000002
dagger,3,0.0,0.766044340723454,0.23395565927654605,48435,2,uncertainty,5000,3575,47010,94020,47010,722,1425,48435,9,9.364326599999913,20.407993400000123,1.1182909999997719,87.34604010000021
dagger,4,0.0,0.7695449241540256,0.23045507584597436,49087,2,uncertainty,5000,2923,47010,141030,47010,652,2077,49087,9,8.33899349999956,17.333175599999777,1.0234588000002987,114.04241629999979
dagger,5,0.0,0.7695449241540256,0.23045507584597436,49768,2,uncertainty,5000,2242,47010,188040,47010,681,2758,49768,9,9.568145599999298,17.902648999999656,1.156713999999738,142.67046990000017
