method,iteration,beta,accuracy,imitation_error,dataset_size,seed,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,9,10.049718199999916,0.0,0.03340570000000298,13.589558199999829
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,9,11.829217300000437,0.0,2.099546300000384,27.519163299999946
dagger,2,0.0,0.7825748735900427,0.21742512640995726,94020,0,9,21.461980799999765,19.231916600000204,1.7639554000002136,69.97839759999988
dagger,3,0.0,0.7919097627382341,0.2080902372617659,141030,0,9,29.30369780000001,17.33537269999988,1.9119251000001896,118.5304156000002
dagger,4,0.0,0.793465577596266,0.20653442240373399,188040,0,9,35.819922900000165,18.585419600000023,1.848739900000055,174.78589030000012
dagger,5,0.0,0.7911318553092183,0.20886814469078174,235050,0,9,47.144631399999525,18.060517099999743,1.9786792000004425,241.9762635000002
