method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7366783352781019,0.2633216647218981,47010,2,periodic,20000,20000,0,0,47010,0,0,47010,9,14.356438399998297,0.0,0.05033499999990454,20.004743500001496
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,2,periodic,20000,20000,0,0,47010,0,0,47010,9,11.443598300000303,0.0,2.017932799999471,33.467659200001435
dagger,2,0.0,0.765071956437184,0.23492804356281605,51711,2,periodic,20000,15299,47010,47010,47010,4701,4701,51711,9,12.627791000000798,19.42824180000025,1.8331311999991158,67.35785850000138
dagger,3,0.0,0.7695449241540256,0.23045507584597436,56412,2,periodic,20000,10598,47010,94020,47010,4701,9402,56412,9,13.527107000001706,16.693463699999484,1.7951556999996683,99.3749284000005
dagger,4,0.0,0.7697394010112797,0.2302605989887203,61113,2,periodic,20000,5897,47010,141030,47010,4701,14103,61113,9,14.08007440000074,16.60466499999893,1.8621786999992764,131.9233581999997
dagger,5,0.0,0.7685725398677558,0.23142746013224424,65814,2,periodic,20000,1196,47010,188040,47010,4701,18804,65814,9,13.575317799999539,17.36835009999959,0.9938849999998638,163.8619187000004
