method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7366783352781019,0.2633216647218981,47010,2,periodic,5000,5000,0,0,47010,0,0,47010,9,10.023364399999991,0.0,0.032973800000036135,13.613900999999714
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,2,periodic,5000,5000,0,0,47010,0,0,47010,9,8.434759499999927,0.0,0.9873545999998896,23.036924
dagger,2,0.0,0.765071956437184,0.23492804356281605,51711,2,periodic,5000,299,47010,47010,47010,4701,4701,51711,9,9.043423999999504,9.493377799999507,1.5142065000000002,43.08871790000012
dagger,3,0.0,0.7674056787242318,0.23259432127576818,52010,2,periodic,5000,0,47010,94020,47010,299,5000,52010,9,8.50475329999972,13.723303299999316,0.9847056999997221,66.30317009999999
dagger,4,0.0,0.7674056787242318,0.23259432127576818,52010,2,periodic,5000,0,47010,141030,47010,0,5000,52010,9,2.8000004022032954e-06,9.237084000000323,1.057008499999938,76.5980513000004
dagger,5,0.0,0.7674056787242318,0.23259432127576818,52010,2,periodic,5000,0,47010,188040,47010,0,5000,52010,9,2.4000000848900527e-06,9.409571400000459,1.0271412000001874,87.03542780000043
