method,iteration,beta,accuracy,imitation_error,dataset_size,seed,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7120615269180266,0.2879384730819734,41679,0,8,2.5028992999996262,0.0,0.033696600001349,6.331357099999877
structured_bc,1,1.0,0.7499531044832114,0.2500468955167886,41679,0,8,2.3631340000010823,0.0,1.1249292000011337,9.82034289999865
dagger,2,0.0,0.7570812230350779,0.24291877696492215,83358,0,8,5.027114700000311,8.484757199999876,1.152094400000351,24.485034699999233
dagger,3,0.0,0.7553929844306885,0.24460701556931153,125037,0,8,10.386854300000778,8.698209399999541,2.0059346000016376,45.57699529999991
dagger,4,0.0,0.7565184768336147,0.24348152316638527,166716,0,8,16.296398200000112,16.996603600000526,2.03998060000049,80.91099269999904
dagger,5,0.0,0.7559557306321516,0.2440442693678484,208395,0,8,18.680555999999342,10.690777400001025,2.344218099999125,112.62779179999961
