method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7366783352781019,0.2633216647218981,47010,2,standard,5000,5000,0,0,47010,0,0,47010,9,10.192221999999674,0.0,0.03263320000041858,13.772458899999947
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,2,standard,5000,5000,0,0,47010,0,0,47010,9,9.732079299999896,0.0,1.0683226999999533,24.574107800000093
dagger,2,0.0,0.7709062621548036,0.22909373784519638,52010,2,standard,5000,0,47010,47010,47010,5000,5000,52010,9,16.01731000000018,15.48506769999949,2.3239098999993075,58.401224000000184
dagger,3,0.0,0.7709062621548036,0.22909373784519638,52010,2,standard,5000,0,47010,94020,47010,0,5000,52010,9,1.600000359758269e-06,19.346061899999768,2.208317200000238,79.96168080000007
dagger,4,0.0,0.7709062621548036,0.22909373784519638,52010,2,standard,5000,0,47010,141030,47010,0,5000,52010,9,1.99999976757681e-06,19.938563200000317,2.2071591000003536,102.10831789999975
dagger,5,0.0,0.7709062621548036,0.22909373784519638,52010,2,standard,5000,0,47010,188040,47010,0,5000,52010,9,2.4000000848900527e-06,20.844473899999684,2.2147928999993383,125.16862130000027
