method,iteration,beta,accuracy,imitation_error,dataset_size,seed,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7370099418495591,0.26299005815044085,41679,2,8,5.335267399999793,0.0,0.05795170000055805,11.752243900000394
structured_bc,1,1.0,0.7756518476833615,0.22434815231663852,41679,2,8,4.812398099998973,0.0,1.8557590000000346,18.42179000000033
dagger,2,0.0,0.7914087413243294,0.20859125867567063,83358,2,8,9.505102499999339,15.157908499999394,1.8691914999999426,44.954942200000005
dagger,3,0.0,0.7949728006002627,0.20502719939973735,125037,2,8,9.327514300000985,12.068395399999645,1.0639529000000039,67.41571040000053
dagger,4,0.0,0.7972237854061152,0.20277621459388484,166716,2,8,13.089251900000818,8.715020400000867,1.070652999998856,90.29140890000053
dagger,5,0.0,0.7992871881448134,0.20071281185518663,208395,2,8,17.48218790000101,9.132275799998752,1.1766716999991331,118.08336090000012
