method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,uncertainty,5000,5000,0,0,47010,0,0,47010,9,8.718351399999847,0.0,0.03199369999947521,12.05512009999984
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,uncertainty,5000,5000,0,0,47010,0,0,47010,9,7.462814000000435,0.0,1.2723431999993409,20.791303400000288
dagger,2,0.0,0.766044340723454,0.23395565927654605,47843,1,uncertainty,5000,4167,47010,47010,47010,833,833,47843,9,7.339900799999668,17.363471699999536,1.0137918999998874,46.50910920000024
dagger,3,0.0,0.7676001555814858,0.23239984441851425,48516,1,uncertainty,5000,3494,47010,94020,47010,673,1506,48516,9,8.112579100000403,16.695077800000035,0.9955135000000155,72.31661050000002
dagger,4,0.0,0.7672112018669778,0.23278879813302222,49228,1,uncertainty,5000,2782,47010,141030,47010,712,2218,49228,9,7.816757800000232,16.673067899999296,0.9968339999995806,97.80404350000026
dagger,5,0.0,0.7722676001555815,0.2277323998444185,49892,1,uncertainty,5000,2118,47010,188040,47010,664,2882,49892,9,8.352433400000336,16.569712599999548,0.9879035000003569,123.71489509999992
