method,iteration,beta,accuracy,imitation_error,dataset_size,seed,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7063399455464799,0.29366005445352006,47010,0,0,0,47010,0,0,47010,9,21.25999200000024,0.0,0.03853679999974702,29.959391499999583
structured_bc,1,1.0,0.7257876312718786,0.2742123687281214,47010,0,0,0,47010,0,0,47010,9,15.772410099999433,0.0,1.8952589999998963,47.628052999999454
dagger,2,0.0,0.7559315441462466,0.24406845585375336,94020,0,47010,47010,47010,47010,47010,94020,9,28.88574619999963,17.554310699999405,1.0340851999999359,95.10321959999965
dagger,3,0.0,0.7600155581485804,0.23998444185141965,141030,0,47010,94020,47010,47010,94020,141030,9,40.883653899999445,16.10074329999952,1.8232712999997602,153.91522869999972
dagger,4,0.0,0.7633216647218981,0.2366783352781019,188040,0,47010,141030,47010,47010,141030,188040,9,47.803007500000604,17.270992200000364,1.0242969000000812,220.01456309999958
dagger,5,0.0,0.766044340723454,0.23395565927654605,235050,0,47010,188040,47010,47010,188040,235050,9,41.94585659999939,9.740407000000232,1.0257278999997652,272.72743099999934
