iteration,aggregation_round,method,seed,test_fold,position,correct,count,accuracy
8,7,dagger,0,9,5,446,548,0.8138686131386861
8,7,dagger,0,9,6,400,501,0.7984031936127745
8,7,dagger,0,9,7,353,435,0.8114942528735632
8,7,dagger,0,9,8,286,361,0.7922437673130194
8,7,dagger,0,9,9,229,287,0.7979094076655052
8,7,dagger,0,9,10,134,173,0.7745664739884393
8,7,dagger,0,9,11,84,112,0.75
8,7,dagger,0,9,12,54,78,0.6923076923076923
8,7,dagger,0,9,13,36,52,0.6923076923076923
8,7,dagger,0,9,14,20,22,0.9090909090909091
9,8,dagger,0,9,1,548,675,0.8118518518518518
9,8,dagger,0,9,2,544,675,0.8059259259259259
9,8,dagger,0,9,3,517,675,0.7659259259259259
9,8,dagger,0,9,4,440,548,0.8029197080291971
9,8,dagger,0,9,5,443,548,0.8083941605839416
9,8,dagger,0,9,6,404,501,0.8063872255489022
9,8,dagger,0,9,7,351,435,0.8068965517241379
9,8,dagger,0,9,8,286,361,0.7922437673130194
9,8,dagger,0,9,9,231,287,0.8048780487804879
9,8,dagger,0,9,10,134,173,0.7745664739884393
9,8,dagger,0,9,11,85,112,0.7589285714285714
9,8,dagger,0,9,12,52,78,0.6666666666666666
9,8,dagger,0,9,13,34,52,0.6538461538461539
9,8,dagger,0,9,14,20,22,0.9090909090909091
10,9,dagger,0,9,1,545,675,0.8074074074074075
10,9,dagger,0,9,2,540,675,0.8
10,9,dagger,0,9,3,513,675,0.76
10,9,dagger,0,9,4,439,548,0.801094890510949
10,9,dagger,0,9,5,443,548,0.8083941605839416
10,9,dagger,0,9,6,400,501,0.7984031936127745
10,9,dagger,0,9,7,349,435,0.8022988505747126
10,9,dagger,0,9,8,286,361,0.7922437673130194
10,9,dagger,0,9,9,231,287,0.8048780487804879
10,9,dagger,0,9,10,134,173,0.7745664739884393
10,9,dagger,0,9,11,84,112,0.75
10,9,dagger,0,9,12,54,78,0.6923076923076923
10,9,dagger,0,9,13,35,52,0.6730769230769231
10,9,dagger,0,9,14,20,22,0.9090909090909091
11,10,dagger,0,9,1,547,675,0.8103703703703704
11,10,dagger,0,9,2,539,675,0.7985185185185185
11,10,dagger,0,9,3,517,675,0.7659259259259259
11,10,dagger,0,9,4,440,548,0.8029197080291971
11,10,dagger,0,9,5,445,548,0.8120437956204379
11,10,dagger,0,9,6,401,501,0.8003992015968064
11,10,dagger,0,9,7,351,435,0.8068965517241379
11,10,dagger,0,9,8,288,361,0.7977839335180056
11,10,dagger,0,9,9,232,287,0.8083623693379791
11,10,dagger,0,9,10,134,173,0.7745664739884393
11,10,dagger,0,9,11,86,112,0.7678571428571429
11,10,dagger,0,9,12,54,78,0.6923076923076923
11,10,dagger,0,9,13,36,52,0.6923076923076923
11,10,dagger,0,9,14,20,22,0.9090909090909091
