method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7366783352781019,0.2633216647218981,47010,2,uncertainty,10000,10000,0,0,47010,0,0,47010,9,15.978055900000072,0.0,0.05383689999962371,22.152905400000236
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,2,uncertainty,10000,10000,0,0,47010,0,0,47010,9,12.509042600000612,0.0,1.7907700999994631,36.45399569999972
dagger,2,0.0,0.765071956437184,0.23492804356281605,47713,2,uncertainty,10000,9297,47010,47010,47010,703,703,47713,9,15.256426699999793,33.49932340000032,1.9272938000003705,87.13815109999996
dagger,3,0.0,0.766044340723454,0.23395565927654605,48435,2,uncertainty,10000,8575,47010,94020,47010,722,1425,48435,9,15.667859700000008,33.34078919999956,2.0412396000001536,138.18919689999984
dagger,4,0.0,0.7695449241540256,0.23045507584597436,49087,2,uncertainty,10000,7923,47010,141030,47010,652,2077,49087,9,14.231732100000045,32.27638669999942,1.805047700000614,186.5033241000001
dagger,5,0.0,0.7695449241540256,0.23045507584597436,49768,2,uncertainty,10000,7242,47010,188040,47010,681,2758,49768,9,14.269287300000542,30.608272999999826,1.735233899999912,233.11713789999976
