method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,periodic,10000,10000,0,0,47010,0,0,47010,9,11.05130680000002,0.0,0.0332762999996703,16.964463100000103
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,periodic,10000,10000,0,0,47010,0,0,47010,9,8.54401560000042,0.0,1.0044764000003852,26.51387690000047
dagger,2,0.0,0.7668222481524699,0.2331777518475301,51711,1,periodic,10000,5299,47010,47010,47010,4701,4701,51711,9,8.307570899999519,9.529530899999372,0.9902725000001737,45.342064700000265
dagger,3,0.0,0.7711007390120576,0.22889926098794244,56412,1,periodic,10000,598,47010,94020,47010,4701,9402,56412,9,9.689455599999746,9.411800300000323,1.005303200000526,65.45205960000021
dagger,4,0.0,0.7679891092959937,0.23201089070400627,57010,1,periodic,10000,0,47010,141030,47010,598,10000,57010,9,9.94689180000023,9.421937699999944,0.9890286999998352,85.8109985000001
dagger,5,0.0,0.7679891092959937,0.23201089070400627,57010,1,periodic,10000,0,47010,188040,47010,0,10000,57010,9,1.2999998943996616e-06,9.289422899999408,1.0165820000001986,96.1177587000002
