method,iteration,beta,accuracy,imitation_error,dataset_size,seed,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.661026837806301,0.338973162193699,47010,0,0,0,47010,0,0,47010,9,12.682908400000088,0.0,0.05505300000004354,22.829436299999998
structured_bc,1,1.0,0.6690003889537145,0.3309996110462855,47010,0,0,0,47010,0,0,47010,9,11.872437000000446,0.0,1.8626845999997386,36.56591159999971
dagger,2,0.0,0.7038117464021781,0.29618825359782186,94020,0,47010,47010,47010,47010,47010,94020,9,15.188586999999643,11.139087700000346,1.8335990999994465,64.72826859999986
dagger,3,0.0,0.706534422403734,0.293465577596266,141030,0,47010,94020,47010,47010,94020,141030,9,24.288355500000762,17.682714399999895,1.8489270999998553,108.55180300000029
dagger,4,0.0,0.7147024504084014,0.2852975495915986,188040,0,47010,141030,47010,47010,141030,188040,9,34.084444000000076,20.654869100000724,1.9472990000003847,165.23945660000027
dagger,5,0.0,0.7133411124076235,0.28665888759237645,235050,0,47010,188040,47010,47010,188040,235050,9,34.564003200000116,17.81938850000006,1.871985599999789,219.49586180000006
