method,iteration,beta,accuracy,imitation_error,dataset_size,seed,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,9,17.0320729999994,0.0,0.05088999999952648,20.569643400000132
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,9,11.926971600000797,0.0,1.7729122000000643,34.27088519999961
dagger,2,0.0,0.7839362115908207,0.21606378840917928,94020,1,9,23.354921099999956,19.018877800000155,1.8050885000002381,78.45075120000001
dagger,3,0.0,0.7868533644496305,0.2131466355503695,141030,1,9,28.64486340000076,17.59664520000024,1.9671378000002733,126.6603170999997
dagger,4,0.0,0.7895760404511863,0.21042395954881365,188040,1,9,37.119337500000256,19.272975200000474,1.918801099999655,184.9725509
dagger,5,0.0,0.7905484247374562,0.20945157526254377,235050,1,9,45.748792200000025,17.891854600000443,1.8328325000002224,250.44729470000038
