method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,periodic,20000,20000,0,0,47010,0,0,47010,9,13.784184399999504,0.0,0.05772839999917778,18.611584100000982
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,periodic,20000,20000,0,0,47010,0,0,47010,9,12.039359200000035,0.0,1.8065159999987372,32.45884490000026
dagger,2,0.0,0.7668222481524699,0.2331777518475301,51711,1,periodic,20000,15299,47010,47010,47010,4701,4701,51711,9,12.837494699999297,16.52534580000065,1.7401752000005217,63.56291710000005
dagger,3,0.0,0.7711007390120576,0.22889926098794244,56412,1,periodic,20000,10598,47010,94020,47010,4701,9402,56412,9,14.54087679999975,16.393374599998424,1.831670399998984,96.33249210000031
dagger,4,0.0,0.7711007390120576,0.22889926098794244,61113,1,periodic,20000,5897,47010,141030,47010,4701,14103,61113,9,14.129872599998635,16.633347900000444,1.7059248000005027,128.80254679999962
dagger,5,0.0,0.7720731232983274,0.22792687670167255,65814,1,periodic,20000,1196,47010,188040,47010,4701,18804,65814,9,15.93733659999998,16.96107690000099,1.7544947000005777,163.45643419999942
