aggregation_rounds,code_iteration,mean_accuracy,sample_sd,seed_0,seed_1,seed_2
0,1,0.7615713730066123,0.0020210627859613096,0.7592376507195644,0.7627382341501361,0.7627382341501361
1,2,0.7836769091144821,0.0009979777206236833,0.7825748735900427,0.7839362115908207,0.7845196421625826
3,4,0.7908725528328796,0.0022456253177347957,0.793465577596266,0.7895760404511863,0.7895760404511863
5,6,0.7912615065473876,0.00040483586142864856,0.7909373784519642,0.7917152858809802,0.7911318553092183
10,11,0.7945027875016205,0.0009788453825062668,0.7954103461688059,0.79463243873979,0.793465577596266
