method,iteration,beta,accuracy,imitation_error,dataset_size,seed,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7595197899080848,0.24048021009191523,41679,2,8,10.873417200000404,0.0,0.03652479999982461,15.026926900000035
structured_bc,1,1.0,0.7769649221534422,0.22303507784655785,41679,2,8,8.019557100000384,0.0,1.0563889000004565,24.10378369999853
dagger,2,0.0,0.8071656349652974,0.19283436503470264,83358,2,8,12.216916199999105,8.808151400000497,1.1552965999999287,46.28499959999863
dagger,3,0.0,0.8107296942412305,0.18927030575876946,125037,2,8,17.51743710000119,8.396332399999665,1.0728497000000061,73.27225579999867
dagger,4,0.0,0.8144813355843181,0.18551866441568188,166716,2,8,23.426291599998876,8.7919955999987,1.0578680999988137,106.54914039999858
dagger,5,0.0,0.8141061714500094,0.1858938285499906,208395,2,8,25.746012800000244,8.61464739999974,1.0548694000008254,141.96577529999922
