method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,standard,20000,20000,0,0,47010,0,0,47010,9,15.637054900000294,0.0,0.05309769999985292,21.301788699998724
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,standard,20000,20000,0,0,47010,0,0,47010,9,12.90125529999932,0.0,1.9070152999993297,36.11133699999846
dagger,2,0.0,0.7740178918708673,0.22598210812913266,67010,1,standard,20000,0,47010,47010,47010,20000,20000,67010,9,15.723240900000746,16.984347600000547,1.935948800000915,70.75583000000006
dagger,3,0.0,0.7740178918708673,0.22598210812913266,67010,1,standard,20000,0,47010,94020,47010,0,20000,67010,9,1.3999997463542968e-06,16.958952200000567,1.8711137999998755,89.58711479999874
dagger,4,0.0,0.7740178918708673,0.22598210812913266,67010,1,standard,20000,0,47010,141030,47010,0,20000,67010,9,1.6999983927235007e-06,16.425998699998672,1.9289708999986033,107.94299879999926
dagger,5,0.0,0.7740178918708673,0.22598210812913266,67010,1,standard,20000,0,47010,188040,47010,0,20000,67010,9,1.2999989849049598e-06,17.704324199999974,1.7756534000000102,127.42384209999909
