method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,standard,10000,10000,0,0,47010,0,0,47010,9,10.655120200000056,0.0,0.031159399999978632,14.205984900000203
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,standard,10000,10000,0,0,47010,0,0,47010,9,9.351030600000286,0.0,1.0877357999997912,24.64582930000006
dagger,2,0.0,0.7701283547257877,0.22987164527421233,57010,0,standard,10000,0,47010,47010,47010,10000,10000,57010,9,8.791812400000254,10.494631200000185,1.0288351999997758,44.96185749999995
dagger,3,0.0,0.7701283547257877,0.22987164527421233,57010,0,standard,10000,0,47010,94020,47010,0,10000,57010,9,1.0999997357430402e-06,10.05568379999977,1.4963007999999718,56.518039000000044
dagger,4,0.0,0.7701283547257877,0.22987164527421233,57010,0,standard,10000,0,47010,141030,47010,0,10000,57010,9,1.2999998943996616e-06,9.86317199999985,1.0287414000003992,67.41063710000026
dagger,5,0.0,0.7701283547257877,0.22987164527421233,57010,0,standard,10000,0,47010,188040,47010,0,10000,57010,9,1.2999998943996616e-06,9.392936700000064,0.9804484000001139,77.78464010000016
