method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7366783352781019,0.2633216647218981,47010,2,standard,10000,10000,0,0,47010,0,0,47010,9,9.777477199999339,0.0,0.033137299999907555,13.216051399999742
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,2,standard,10000,10000,0,0,47010,0,0,47010,9,8.137866000000031,0.0,0.9938971999999922,22.34872059999998
dagger,2,0.0,0.7697394010112797,0.2302605989887203,57010,2,standard,10000,0,47010,47010,47010,10000,10000,57010,9,15.9539335999998,9.74400280000009,2.4417451999997866,50.48950700000023
dagger,3,0.0,0.7697394010112797,0.2302605989887203,57010,2,standard,10000,0,47010,94020,47010,0,10000,57010,9,2.4000000848900527e-06,19.22388460000002,1.9041215999995984,71.6186319999997
dagger,4,0.0,0.7697394010112797,0.2302605989887203,57010,2,standard,10000,0,47010,141030,47010,0,10000,57010,9,1.499999598308932e-06,17.79251899999963,2.3555510000005597,91.7727316999999
dagger,5,0.0,0.7697394010112797,0.2302605989887203,57010,2,standard,10000,0,47010,188040,47010,0,10000,57010,9,1.3999997463542968e-06,19.77018129999942,2.0743820999996387,113.61822529999972
