method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,periodic,10000,10000,0,0,47010,0,0,47010,9,9.402423800000179,0.0,0.0308668999996371,12.69827639999994
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,periodic,10000,10000,0,0,47010,0,0,47010,9,8.149916299999859,0.0,0.9721458999997594,21.82114730000012
dagger,2,0.0,0.764488525865422,0.23551147413457796,51711,0,periodic,10000,5299,47010,47010,47010,4701,4701,51711,9,8.208627200000137,9.183404999999766,0.9794428999998672,40.19361609999987
dagger,3,0.0,0.7689614935822637,0.23103850641773627,56412,0,periodic,10000,598,47010,94020,47010,4701,9402,56412,9,9.169222699999864,9.280884100000094,0.9885822999999618,59.63705250000021
dagger,4,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,141030,47010,598,10000,57010,9,15.162981700000273,13.67818269999998,1.8033634000003076,90.28237829999989
dagger,5,0.0,0.7740178918708673,0.22598210812913266,57010,0,periodic,10000,0,47010,188040,47010,0,10000,57010,9,1.8000000636675395e-06,18.612040699999852,2.1237091000002692,111.01915580000014
