method,iteration,beta,accuracy,imitation_error,dataset_size,seed,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7409491652598011,0.25905083474019885,41679,0,8,3.1376428000003216,0.0,0.17587970000022324,6.7336113000001205
structured_bc,1,1.0,0.7749015194147439,0.22509848058525606,41679,0,8,3.0482463000007556,0.0,1.04706410000108,10.829911799999536
dagger,2,0.0,0.7876570999812418,0.21234290001875822,83358,0,8,11.577070100000128,11.389629299999797,2.5072717999992165,36.30448199999955
dagger,3,0.0,0.7947852185331082,0.20521478146689176,125037,0,8,14.96748259999913,17.76180579999891,2.0635978000009345,71.09839800000009
dagger,4,0.0,0.7983492778090414,0.2016507221909586,166716,0,8,20.097090299999763,18.442966200000228,2.0306416999992507,111.67029199999888
dagger,5,0.0,0.8011630088163572,0.19883699118364284,208395,0,8,24.688870100000713,17.354248200001166,2.0346976000000723,155.7492903000002
