method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,standard,,,0,0,47010,0,0,47010,9,11.779018799999903,0.0,0.033559199999217526,15.444198099999994
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,standard,,,0,0,47010,0,0,47010,9,11.87004810000144,0.0,2.296353599998838,29.612013599999045
dagger,2,0.0,0.7825748735900427,0.21742512640995726,94020,0,standard,,,47010,47010,47010,47010,47010,94020,9,21.900427900000068,20.087511100000484,1.8290648000001966,73.43016399999942
dagger,3,0.0,0.7919097627382341,0.2080902372617659,141030,0,standard,,,47010,94020,47010,47010,94020,141030,9,26.607117100000323,17.457630299999437,1.8117473000002065,119.30839379999998
dagger,4,0.0,0.793465577596266,0.20653442240373399,188040,0,standard,,,47010,141030,47010,47010,141030,188040,9,29.39841449999949,17.388492699999915,1.894421599999987,167.99066200000016
dagger,5,0.0,0.7911318553092183,0.20886814469078174,235050,0,standard,,,47010,188040,47010,47010,188040,235050,9,39.67597180000121,17.85151770000084,1.94382079999923,227.46306849999928
dagger,6,0.0,0.7909373784519642,0.2090626215480358,282060,0,standard,,,47010,235050,47010,47010,235050,282060,9,46.57751610000014,17.273492700000133,2.550420800000211,293.8655130999996
dagger,7,0.0,0.794243485025282,0.20575651497471803,329070,0,standard,,,47010,282060,47010,47010,282060,329070,9,59.81287480000174,18.46945969999979,2.092912999998589,374.2419293999992
dagger,8,0.0,0.794049008168028,0.20595099183197196,376080,0,standard,,,47010,329070,47010,47010,329070,376080,9,58.49050340000031,17.89515989999927,1.8343816999986302,452.46884209999916
dagger,9,0.0,0.795215869311552,0.20478413068844803,423090,0,standard,,,47010,376080,47010,47010,376080,423090,9,65.05300720000014,17.534769699999742,1.9297910999994201,536.9872799000004
dagger,10,0.0,0.7921042395954881,0.20789576040451185,470100,0,standard,,,47010,423090,47010,47010,423090,470100,9,56.43779329999961,17.456915999999183,1.0876798999997845,611.9706315000003
dagger,11,0.0,0.7954103461688059,0.2045896538311941,517110,0,standard,,,47010,470100,47010,47010,470100,517110,9,54.84575750000113,10.19327709999925,1.0198548999997001,678.0301545999992
