method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7366783352781019,0.2633216647218981,47010,2,standard,15000,15000,0,0,47010,0,0,47010,9,13.574290200000178,0.0,0.051202000000557746,19.075288400001227
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,2,standard,15000,15000,0,0,47010,0,0,47010,9,11.250296199999866,0.0,1.786216999998942,32.11281380000037
dagger,2,0.0,0.7728510307273434,0.2271489692726566,62010,2,standard,15000,0,47010,47010,47010,15000,15000,62010,9,15.704922799999622,16.66731449999861,2.1238655999986804,66.60999609999999
dagger,3,0.0,0.7728510307273434,0.2271489692726566,62010,2,standard,15000,0,47010,94020,47010,0,15000,62010,9,1.3000008038943633e-06,19.29600609999943,1.9050123999986681,87.8124080000016
dagger,4,0.0,0.7728510307273434,0.2271489692726566,62010,2,standard,15000,0,47010,141030,47010,0,15000,62010,9,1.7000002117129043e-06,19.291941399998905,1.9855410999989545,109.09076300000015
dagger,5,0.0,0.7728510307273434,0.2271489692726566,62010,2,standard,15000,0,47010,188040,47010,0,15000,62010,9,1.6000012692529708e-06,18.16140489999998,1.7907830000003742,129.04411360000086
