method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7323998444185142,0.26760015558148575,47010,1,periodic,5000,5000,0,0,47010,0,0,47010,9,9.03859470000043,0.0,0.03211829999963811,12.434996899999533
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,1,periodic,5000,5000,0,0,47010,0,0,47010,9,7.557243999999628,0.0,0.980220599999484,20.973368299999493
dagger,2,0.0,0.7668222481524699,0.2331777518475301,51711,1,periodic,5000,299,47010,47010,47010,4701,4701,51711,9,8.08964400000059,9.361258899999484,0.9880778999995528,39.41357049999988
dagger,3,0.0,0.7695449241540256,0.23045507584597436,52010,1,periodic,5000,0,47010,94020,47010,299,5000,52010,9,9.621142599999985,9.697109499999897,0.9890537999999651,59.72402439999951
dagger,4,0.0,0.7695449241540256,0.23045507584597436,52010,1,periodic,5000,0,47010,141030,47010,0,5000,52010,9,1.499999598308932e-06,9.606547899999896,1.0307466999993267,70.36220090000006
dagger,5,0.0,0.7695449241540256,0.23045507584597436,52010,1,periodic,5000,0,47010,188040,47010,0,5000,52010,9,1.499999598308932e-06,9.53355460000057,1.272875199999362,81.16921860000002
