method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,periodic,20000,20000,0,0,47010,0,0,47010,9,14.063049300000785,0.0,0.05599599999914062,18.856492700000672
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,periodic,20000,20000,0,0,47010,0,0,47010,9,12.076198200000363,0.0,1.708620699999301,32.64266289999978
dagger,2,0.0,0.764488525865422,0.23551147413457796,51711,0,periodic,20000,15299,47010,47010,47010,4701,4701,51711,9,12.404747799999313,16.52744949999942,1.7274364000004425,63.30362509999941
dagger,3,0.0,0.7689614935822637,0.23103850641773627,56412,0,periodic,20000,10598,47010,94020,47010,4701,9402,56412,9,13.130321799999365,16.558269200000723,1.7151280000016413,94.71055739999974
dagger,4,0.0,0.7703228315830416,0.2296771684169584,61113,0,periodic,20000,5897,47010,141030,47010,4701,14103,61113,9,14.188506099999358,16.610160299998824,1.7586977999999363,127.26874569999927
dagger,5,0.0,0.7689614935822637,0.23103850641773627,65814,0,periodic,20000,1196,47010,188040,47010,4701,18804,65814,9,17.13373590000083,20.122706800000742,1.774785100000372,166.30070840000008
