method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,uncertainty,20000,20000,0,0,47010,0,0,47010,9,14.26569279999967,0.0,0.05106730000079551,19.135770000000775
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,uncertainty,20000,20000,0,0,47010,0,0,47010,9,12.257030699998722,0.0,1.7162481999985175,33.11044319999928
dagger,2,0.0,0.7666277712952159,0.23337222870478413,47768,0,uncertainty,20000,19242,47010,47010,47010,758,758,47768,9,13.233165000001463,30.866546299999754,1.7193210999994335,78.93062800000007
dagger,3,0.0,0.766044340723454,0.23395565927654605,48482,0,uncertainty,20000,18528,47010,94020,47010,714,1472,48482,9,13.051288999999088,29.713760799999363,1.7043571999984124,123.40105829999993
dagger,4,0.0,0.7722676001555815,0.2277323998444185,49193,0,uncertainty,20000,17817,47010,141030,47010,711,2183,49193,9,12.20193880000079,29.72031749999951,1.7567001999996137,167.08088300000054
dagger,5,0.0,0.7707117852975496,0.22928821470245042,49847,0,uncertainty,20000,17163,47010,188040,47010,654,2837,49847,9,12.796573900001022,27.15977919999932,1.7276067999991938,208.76589590000003
