method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,periodic,15000,15000,0,0,47010,0,0,47010,9,14.57657989999916,0.0,0.05109380000067176,19.886876399999892
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,periodic,15000,15000,0,0,47010,0,0,47010,9,12.820178400000259,0.0,1.7711036000000604,34.47945729999992
dagger,2,0.0,0.764488525865422,0.23551147413457796,51711,0,periodic,15000,10299,47010,47010,47010,4701,4701,51711,9,12.256551500000569,16.643269999999575,1.8024365999999645,65.18260759999976
dagger,3,0.0,0.7689614935822637,0.23103850641773627,56412,0,periodic,15000,5598,47010,94020,47010,4701,9402,56412,9,13.17906159999984,16.695137699999577,1.8434226999997918,96.9046416000001
dagger,4,0.0,0.7703228315830416,0.2296771684169584,61113,0,periodic,15000,897,47010,141030,47010,4701,14103,61113,9,14.284093899999789,16.433274699999856,1.7557355999997526,129.3789109999998
dagger,5,0.0,0.7615713730066123,0.23842862699338774,62010,0,periodic,15000,0,47010,188040,47010,897,15000,62010,9,15.533673999999337,16.839142699999684,1.8304368999997678,163.5832075999997
