method,iteration,beta,accuracy,imitation_error,dataset_size,seed,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7409491652598011,0.25905083474019885,41679,0,8,6.5308162000001175,0.0,0.06811449999986507,14.435388699999748
structured_bc,1,1.0,0.7749015194147439,0.22509848058525606,41679,0,8,5.2851848999998765,0.0,3.865479200000209,23.587583600000016
dagger,2,0.0,0.7876570999812418,0.21234290001875822,83358,0,8,14.100717199999963,28.813759899999695,2.380851700000221,68.8844396999998
