method,iteration,beta,accuracy,imitation_error,dataset_size,seed,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7111236165822548,0.28887638341774524,41679,2,8,2.376366499998767,0.0,0.03533349999997881,5.816609999999855
structured_bc,1,1.0,0.749765522416057,0.250234477583943,41679,2,8,2.247631000000183,0.0,1.1510417999998026,9.216264799999408
dagger,2,0.0,0.7550178202963796,0.24498217970362035,83358,2,8,4.822306699999899,8.479946700001165,1.0453417000007903,23.564565399999992
dagger,3,0.0,0.7557681485649972,0.2442318514350028,125037,2,8,7.57313140000042,8.46266960000139,1.025434099999984,40.62647019999895
dagger,4,0.0,0.7550178202963796,0.24498217970362035,166716,2,8,10.453331900000194,8.51141970000026,1.038366099999621,60.6307639000006
dagger,5,0.0,0.7555805664978428,0.24441943350215722,208395,2,8,13.482965599998352,8.601313400000436,1.0318925000010495,83.75083169999925
