method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7366783352781019,0.2633216647218981,47010,2,standard,,,0,0,47010,0,0,47010,9,13.007968499998242,0.0,0.06284090000008291,18.40538960000049
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,2,standard,,,0,0,47010,0,0,47010,9,11.397977800001172,0.0,1.784361899999567,31.589026900001045
dagger,2,0.0,0.7845196421625826,0.21548035783741737,94020,2,standard,,,47010,47010,47010,47010,47010,94020,9,19.87353079999957,16.967777300000307,1.7754107000000658,70.20673499999975
dagger,3,0.0,0.7868533644496305,0.2131466355503695,141030,2,standard,,,47010,94020,47010,47010,94020,141030,9,26.1842144000002,18.060823900001196,1.761858800000482,116.21692460000122
dagger,4,0.0,0.7895760404511863,0.21042395954881365,188040,2,standard,,,47010,141030,47010,47010,141030,188040,9,39.031361400000605,17.25229969999964,1.8808847000000242,174.38252020000073
dagger,5,0.0,0.793076623881758,0.20692337611824196,235050,2,standard,,,47010,188040,47010,47010,188040,235050,9,40.73580719999882,18.645893999999316,1.841563199999655,235.60711400000037
dagger,6,0.0,0.7911318553092183,0.20886814469078174,282060,2,standard,,,47010,235050,47010,47010,235050,282060,9,53.24895640000068,17.563261299999795,1.8929513000002771,308.31366660000094
dagger,7,0.0,0.7924931933099961,0.20750680669000388,329070,2,standard,,,47010,282060,47010,47010,282060,329070,9,58.476125299999694,18.191618099999687,1.9460564000000886,386.93213079999987
dagger,8,0.0,0.793076623881758,0.20692337611824196,376080,2,standard,,,47010,329070,47010,47010,329070,376080,9,63.11291979999987,20.85021400000005,2.106266400000095,473.00292439999976
dagger,9,0.0,0.7957992998833139,0.20420070011668612,423090,2,standard,,,47010,376080,47010,47010,376080,423090,9,73.36956210000062,19.47752479999872,1.917995300000257,567.7690321000009
dagger,10,0.0,0.79463243873979,0.20536756126021005,470100,2,standard,,,47010,423090,47010,47010,423090,470100,9,81.29502339999999,18.667126399999688,2.001094600000215,669.7336560000003
dagger,11,0.0,0.793465577596266,0.20653442240373399,517110,2,standard,,,47010,470100,47010,47010,470100,517110,9,79.4311619,19.486427800000456,1.9803283000001102,770.6331484000002
