method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,standard,20000,20000,0,0,47010,0,0,47010,9,14.062503600000127,0.0,0.050846899999669404,18.891852699998708
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,standard,20000,20000,0,0,47010,0,0,47010,9,12.17326200000025,0.0,1.7515774999992573,32.818047699998715
dagger,2,0.0,0.7746013224426294,0.22539867755737064,67010,0,standard,20000,0,47010,47010,47010,20000,20000,67010,9,15.428676100000303,16.798447700000906,1.7539237000000867,66.80000010000003
dagger,3,0.0,0.7746013224426294,0.22539867755737064,67010,0,standard,20000,0,47010,94020,47010,0,20000,67010,9,1.7000002117129043e-06,16.877481699999407,1.8409398999992845,85.52467979999892
dagger,4,0.0,0.7746013224426294,0.22539867755737064,67010,0,standard,20000,0,47010,141030,47010,0,20000,67010,9,1.7000002117129043e-06,16.55692110000018,1.882798399999956,103.96542789999876
dagger,5,0.0,0.7746013224426294,0.22539867755737064,67010,0,standard,20000,0,47010,188040,47010,0,20000,67010,9,1.2000000424450263e-06,16.76872909999838,1.7676529999989725,122.50296819999858
