method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.7366783352781019,0.2633216647218981,47010,2,standard,20000,20000,0,0,47010,0,0,47010,9,13.579970599999797,0.0,0.050624200001038844,18.44479560000036
structured_bc,1,1.0,0.7627382341501361,0.23726176584986391,47010,2,standard,20000,20000,0,0,47010,0,0,47010,9,11.555984200000239,0.0,1.7344417999993311,31.736520200000086
dagger,2,0.0,0.7720731232983274,0.22792687670167255,67010,2,standard,20000,0,47010,47010,47010,20000,20000,67010,9,15.117088599999988,16.487568399999873,1.7263025000011112,65.06869379999989
dagger,3,0.0,0.7720731232983274,0.22792687670167255,67010,2,standard,20000,0,47010,94020,47010,0,20000,67010,9,1.5000005078036338e-06,16.874928700000964,1.8246825000005629,83.77472130000024
dagger,4,0.0,0.7720731232983274,0.22792687670167255,67010,2,standard,20000,0,47010,141030,47010,0,20000,67010,9,1.7000002117129043e-06,13.859275799999523,1.751881100000901,99.38690560000032
dagger,5,0.0,0.7720731232983274,0.22792687670167255,67010,2,standard,20000,0,47010,188040,47010,0,20000,67010,9,2.0000006770715117e-06,17.48146260000067,1.8298400999992737,118.69928280000022
