method,iteration,beta,accuracy,imitation_error,dataset_size,seed,query_strategy,query_budget,remaining_queries,visited_states_this_iteration,cumulative_visited_states,initial_labels,queries_this_iteration,cumulative_queries,total_labels_used,evaluation_fold,training_seconds,rollout_seconds,evaluation_seconds,elapsed_seconds
no_structure,0,1.0,0.735705950991832,0.264294049008168,47010,0,uncertainty,5000,5000,0,0,47010,0,0,47010,9,9.547054399999979,0.0,0.032005000000026484,13.029303400000572
structured_bc,1,1.0,0.7592376507195644,0.2407623492804356,47010,0,uncertainty,5000,5000,0,0,47010,0,0,47010,9,8.041097799999989,0.0,1.0101429000005737,22.081424099999822
dagger,2,0.0,0.7666277712952159,0.23337222870478413,47768,0,uncertainty,5000,4242,47010,47010,47010,758,758,47768,9,7.996861600000557,16.371018100000583,0.9736586999997598,47.42389700000058
dagger,3,0.0,0.766044340723454,0.23395565927654605,48482,0,uncertainty,5000,3528,47010,94020,47010,714,1472,48482,9,8.504128900000069,16.454661800000395,0.9764441999996052,73.36027230000036
dagger,4,0.0,0.7722676001555815,0.2277323998444185,49193,0,uncertainty,5000,2817,47010,141030,47010,711,2183,49193,9,7.8732531999994535,16.43904500000008,0.9797829999997703,98.65313049999986
dagger,5,0.0,0.7707117852975496,0.22928821470245042,49847,0,uncertainty,5000,2163,47010,188040,47010,654,2837,49847,9,9.01850579999973,16.289368799999465,0.9621946000006574,124.92398310000044
